"COLONY","PlantID","Sex_t","Sever","Time","Lf_t","ST.BOR.t","DMG.t","Total_nodes","SexF_t1","brnoF_t1","SexB_t1","brnoB_t1","LfFtot_t1","LfBtot_t1","Lftot_t1","SexF_t2","brnoF_t2","SexB_t2","brnoB_t2","LftotF_t2","LftotB_t2","Lftot_t2"
1,1,"S","S1","T2","433.083","N","N",9,"S",1,"V","1",189.438,376.102,565.54,"V",1,"V",1,216.837,442.212,659.049
1,2,"V","S1","T2","384.2155","N","N",5,"S",1,"V","1",261.744,NA,NA,"V",1,"V",1,329.67475,251.695,581.36975
1,3,"S","S2","T2","777.414","N","N",7,"S",1,"V","1",334.05,442.212,776.262,"V",1,"V",1,495.1,504.115,999.215
1,4,"V","S2","T2","314.95025","N","N",7,"S",1,"V","1",308.076,272.129,580.205,"V",1,"V",1,102.9475,352.663,455.6105
1,5,"S","S4","T2","494.859","N","N",8,"V",1,"V","1",425.384,138.106,563.49,"V",1,"V",1,392.17875,165.4515,557.63025
1,6,"V","S4","T2","352.663","N","N",7,"V",1,NA,"0",NA,0,NA,"V",1,"NAN",0,578.9395,0,578.9395
1,7,"S","C","T2","454.143","N","N",6,"V",1,NA,"0",NA,0,NA,"V",1,"NAN",0,188.59,0,188.59
1,8,"V","C","T2","450.9265","N","N",6,"V",1,NA,"0",608.088,0,608.088,"S",1,"NAN",0,616.605,0,616.605
1,9,"S","S1","T1","289.524","N","N",11,"V",1,NA,"0",182.58,0,182.58,"V",1,"NAN",0,307.588,0,307.588
1,10,"V","S1","T1","285.952","N","N",11,"V",1,"V","1",360.476,258.306,618.782,"NAN",0,"V",1,0,307.588,307.588
1,11,"S","S2","T1","398.5095","N","N",11,"S",1,"V","1",543.948,300.376,844.324,"V",1,"V",1,392.17875,300.376,692.55475
1,12,"V","S2","T1","238.473","N","N",11,"S",1,"V","1",320.712,117.672,438.384,"V",1,"V",1,359.875,188.59,548.465
1,13,"S","S4","T1","671.763","N","N",11,"S",1,"V","1",621.87,108.056,729.926,"V",1,"V",1,504.115,148.924,653.039
1,14,"V","S4","T1","384.2155","N","N",11,"V",1,NA,"0",495.1,0,495.1,"V",1,"NAN",0,560.008,0,560.008
1,15,"S","C","T1","539.436","N","N",11,"V",1,NA,"0",669.39,0,669.39,"V",1,"NAN",0,669.39,0,669.39
1,16,"V","C","T1","300.376","N","N",11,"V",1,NA,"0",329.825,0,329.825,"V",1,"NAN",0,265.2175,0,265.2175
1,17,"S","S1","T3","641.226","N","N",11,"S",1,"V","2",247.002,570.72,817.722,"V",1,"V",2,368.289,617.379,985.668
1,18,"V","S1","T3","383.915","N","N",11,"V",1,"V","1",108.056,329.825,437.881,"V",1,"V",1,194.6,459.49075,654.09075
1,19,"S","S2","T3","649.299","N","N",11,"S",1,NA,"0",544.65,0,544.65,"V",1,"NAN",0,531.761,0,531.761
